timestamp,outdoor_temp_c,baseline_lighting_kw,baseline_equipment_kw,co2_generation_rate
2023-07-01T00:00,23.4,2.0,4.0,0.1
2023-07-01T00:05,23.28,2.0,4.0,0.1
2023-07-01T00:10,23.17,2.0,4.0,0.1
2023-07-01T00:15,23.05,2.0,4.0,0.1
2023-07-01T00:20,22.93,2.0,4.0,0.1
2023-07-01T00:25,22.82,2.0,4.0,0.1
2023-07-01T00:30,22.7,2.0,4.0,0.1
2023-07-01T00:35,22.58,2.0,4.0,0.1
2023-07-01T00:40,22.47,2.0,4.0,0.1
2023-07-01T00:45,22.35,2.0,4.0,0.1
2023-07-01T00:50,22.23,2.0,4.0,0.1
2023-07-01T00:55,22.12,2.0,4.0,0.1
2023-07-01T01:00,22.0,2.0,4.0,0.1
2023-07-01T01:05,21.93,2.0,4.0,0.1
2023-07-01T01:10,21.87,2.0,4.0,0.1
2023-07-01T01:15,21.8,2.0,4.0,0.1
2023-07-01T01:20,21.73,2.0,4.0,0.1
2023-07-01T01:25,21.67,2.0,4.0,0.1
2023-07-01T01:30,21.6,2.0,4.0,0.1
2023-07-01T01:35,21.53,2.0,4.0,0.1
2023-07-01T01:40,21.47,2.0,4.0,0.1
2023-07-01T01:45,21.4,2.0,4.0,0.1
2023-07-01T01:50,21.33,2.0,4.0,0.1
2023-07-01T01:55,21.27,2.0,4.0,0.1
2023-07-01T02:00,21.2,2.0,4.0,0.1
2023-07-01T02:05,21.12,2.0,4.0,0.1
2023-07-01T02:10,21.05,2.0,4.0,0.1
2023-07-01T02:15,20.98,2.0,4.0,0.1
2023-07-01T02:20,20.9,2.0,4.0,0.1
2023-07-01T02:25,20.82,2.0,4.0,0.1
2023-07-01T02:30,20.75,2.0,4.0,0.1
2023-07-01T02:35,20.68,2.0,4.0,0.1
2023-07-01T02:40,20.6,2.0,4.0,0.1
2023-07-01T02:45,20.52,2.0,4.0,0.1
2023-07-01T02:50,20.45,2.0,4.0,0.1
2023-07-01T02:55,20.38,2.0,4.0,0.1
2023-07-01T03:00,20.3,2.0,4.0,0.1
2023-07-01T03:05,20.24,2.0,4.0,0.1
2023-07-01T03:10,20.18,2.0,4.0,0.1
